Actual,Predicted
73.02545455,73.6861
36.810625,31.853027
94.08114198,91.1942
135.9658021,126.09106
43.59192513,42.806976
41.1032735,34.621628
63.44117284,60.30312
31.34691076,32.669773
54.87764957,42.754074
97.46765432,94.982895
129.2729412,121.65585
123.2677273,118.76642
93.23450617,93.8571
144.3441667,144.95326
16.48526923,16.16647
92.5466358,90.15213
43.86695187,43.521942
18.30746296,19.061024
61.16598765,60.5644
88.15478395,86.62813
41.97897025,38.339546
109.7190833,103.87558
23.38267735,27.559437
130.20025,129.51947
50.69681818,45.065117
28.20812821,26.469433
28.13486325,26.005306
123.0843583,123.75986
45.15040107,49.45791
46.75473262,44.86334
38.7818984,40.299507
65.29308642,60.520863
32.73080214,33.40652
68.89108025,65.47394
44.78371658,44.16882
56.03354938,55.83441
92.91703704,94.732254
48.77160428,44.910515
46.72108025,59.44784
83.90844444,89.27366
115.6121925,116.18009
123.726123,115.69856
61.00722222,62.717194
119.6920856,119.849014
99.37253086,98.409744
29.38528604,31.864525
51.29270053,44.64514
44.23363636,44.732727
88.41935185,88.1924
45.24208556,50.38443
59.04950617,60.829338
8.748887872,9.401462
162.6788889,160.263
120.48525,127.85152
52.11778075,44.78611
25.35068376,34.8415
24.47147009,25.566933
77.86055556,89.3428
24.83457353,23.632782
97.24236111,108.4341
60.74268519,62.084084
158.7738333,159.37753
45.1866358,43.209618
27.97290618,31.839867
18.75657692,18.16563
92.5755,103.77031
14.80011111,21.102642
139.5819167,137.06679
87.46688272,88.976105
21.49388235,31.92976
28.56139588,27.928604
126.9619167,128.28511
30.34705882,30.223923
65.50472222,57.705956
29.87712868,30.189709
48.28246324,49.269436
92.2291358,90.77514
19.66595956,27.986763
119.3899167,117.83934
104.931123,119.53767
20.55792449,21.440266
140.4391111,143.18759
53.75833333,56.325623
108.8970679,94.74309
46.9381016,58.506783
113.5034759,118.89968
156.0593333,159.07312
162.8693889,164.93182
25.33883088,24.8872
123.4339722,111.904076
46.9381016,45.21206
34.32860412,36.6738
117.8125668,116.346634
110.4779412,118.37353
62.1712963,61.720276
22.55878947,22.452908
27.47544872,25.10136
116.9098889,112.770386
12.71138902,13.579316
68.41487654,59.46917
65.61055556,60.214478
43.68358289,55.014267
156.1545833,157.1468
116.070615,118.69955
87.20231481,93.03068
119.7708889,126.60797
113.3894722,127.943146
144.7251667,154.71545
40.99814645,38.28336
114.2369519,118.71339
133.2957222,142.73395
51.79692513,50.045593
78.20354938,68.40915
103.9093056,94.33304
66.81382353,66.10834
30.82260662,29.917759
134.9148889,130.64282
46.80058824,50.465385
33.96935185,32.118782
90.85339506,93.35936
87.28216578,93.35857
110.7071658,119.34589
20.07539744,22.060677
133.3433333,130.55829
165.3933611,168.133
59.15533951,62.241802
59.79027778,61.123367
38.80112128,41.629406
100.9568056,103.47319
121.8186667,121.17467
55.08988971,53.279427
126.9350535,120.80517
41.39048055,38.6178
54.77474265,55.600464
40.6891358,43.107033
60.84848765,68.09464
123.6759722,126.00253
157.6308889,159.33812
154.8687778,151.03534
34.47845588,24.985466
38.05569794,40.062786
91.06503086,89.16571
57.03885802,54.134903
46.80058824,47.54091
58.65286041,53.023045
45.42542781,46.732788
48.36132716,56.378727
133.8570856,128.07927
136.9150556,141.67041
61.37762346,55.779106
39.49138034,39.204
118.5002139,121.927505
92.5466358,97.97101
34.09320366,38.35257
32.72004577,34.07417
39.01676471,34.306984
32.48466819,33.559967
40.13503432,38.26956
100.3377222,92.82943
50.53070988,48.499035
124.3679144,119.58743
116.2539572,121.09518
101.7007716,94.52214
125.5769444,110.79605
89.37179012,90.94733
132.9623611,141.69768
110.1000556,112.177155
117.9136111,123.07431
99.62341667,108.363754
141.6296944,140.39172
33.30853547,30.69365
105.6713056,104.92711
36.30638603,35.272484
133.8671944,132.09393
133.3909722,140.284
29.45368376,31.455452
20.24406407,20.98291
88.63098765,92.86545
52.48449198,50.416313
30.40533181,32.07322
60.26648148,58.419266
38.59558824,42.206253
64.12904321,60.86969
144.7727778,140.75945
76.83117284,84.16165
23.44787132,24.723598
26.15662821,33.95589
124.71975,107.40938
18.24370085,16.136997
55.37227273,47.252445
33.40691544,33.383354
86.67317901,92.588684
57.80025735,56.16949
25.57048718,23.322159
53.03454545,53.002277
87.04358025,88.86571
38.05569794,35.939556
32.83775744,33.53729
94.23987654,90.56203
87.90861111,98.59134
103.7644136,86.03177
105.2520053,115.73485
132.6724722,122.2818
126.3390909,118.708466
122.3508824,118.726585
26.30316667,26.930595
107.4808889,102.19908
29.89530892,29.22482
47.67348765,57.861435
53.12622995,51.739265
57.56796296,58.533524
79.25991979,77.510376
151.3446944,140.17978
146.2966944,140.14726
1.765470709,1.981679
119.3253476,119.83307
98.57575,102.93951
42.99901602,46.767433
43.13352941,42.388138
133.3528342,118.72616
131.7483957,119.904854
49.78005348,47.497353
15.31675735,14.150725
7.714625,7.6729307
129.0895989,124.3883
25.76801852,26.756012
31.06557692,26.181725
10.23886389,8.913209
110.1476944,102.85039
36.18031985,40.451504
79.73799383,62.412712
62.8591358,60.537964
104.5283889,107.49271
60.31938272,60.860546
116.6665508,119.00152
63.65280864,65.99879
43.23441648,40.569187
129.3646257,119.95787
81.22302469,84.88805
25.42276888,25.298828
37.66336384,36.711792
60.37228395,62.51793
23.14994385,23.097574
66.08675926,61.074608
132.2004167,137.40872
134.9625278,140.64853
24.32493162,25.045712
104.7665,111.82273
6.681382353,10.418038
114.4335833,114.28907
7.033713675,7.0827456
116.6665508,110.122314
85.1734492,87.268394
33.46994853,32.830093
19.48925214,23.19914
123.5807222,127.98074
52.57614973,49.938118
32.14627941,29.10973
60.31938272,61.592106
108.8619167,109.744
123.1301872,119.27255
21.93510662,25.086239
127.7601872,119.68168
88.26058642,90.52305
63.22953704,63.60193
127.0571667,140.11797
118.1004167,108.85943
129.7716667,131.49713
113.2284225,119.5728
77.69537433,61.726837
31.7,27.307968
23.34345538,24.413513
21.61402137,19.880245
18.43936156,27.347404
133.9148333,140.23471
53.01756173,62.670715
78.63024691,90.03354
43.40855615,42.449894
32.67747009,43.095116
22.06116912,23.032923
34.06955983,44.389496
32.27234191,32.330906
117.3541711,118.169716
23.81205556,25.324352
43.59192513,44.987183
21.10718307,27.683376
46.66307487,49.62781
17.96856751,27.882965
131.5813056,131.92159
17.29121795,19.561504
29.54221968,29.829601
98.24238889,109.437965
45.60879679,48.46599
61.16598765,62.55459
54.02290123,57.009674
54.82221925,55.353012
90.3242284,93.12369
124.7346524,122.5919
2.86398627,3.004796
22.12689744,22.846249
43.62675057,38.392075
117.7670556,108.79654
148.2968611,161.44687
66.56296296,59.87077
24.64547794,31.233257
28.7942735,31.285984
5.861966912,12.993983
121.4376944,132.5214
89.90092593,93.58917
25.55637037,26.041985
55.28061497,55.913746
99.67102778,107.73118
119.1878342,118.706604
38.09494279,36.158802
93.92240741,93.94416
124.0011765,118.75304
159.0119444,163.33716
120.5172193,118.013306
62.84387701,57.019737
124.4595989,118.57546
102.2901944,100.75854
29.4989375,30.786358
51.9344385,47.854355
2.475250802,3.1223364
36.48740171,32.486835
137.2007778,149.98598
154.8687778,159.38345
114.6036898,122.760544
97.15015432,90.688736
123.7719786,118.73847
52.02254005,51.232388
41.85008021,43.40898
126.6761667,125.98348
31.99735294,29.533188
92.71833333,99.12682
106.05225,93.34232
112.4811111,103.67855
44.32532086,43.811554
58.58093583,56.61705
59.28057208,60.574936
57.03885802,58.994545
38.70158088,40.37183
134.2958056,129.16045
24.32425629,22.469816
147.9158611,147.63927
116.7706667,121.90523
96.62327778,99.28535
33.92302137,35.411873
115.1079412,114.02857
126.5293611,113.88753
110.4334167,104.148254
128.8603743,125.13622
50.88016043,50.034203
56.93302469,59.344532
11.68957487,12.35496
51.78713959,32.326763
8.783728395,8.830413
70.21388889,59.859673
3.223786325,3.2724695
36.93669118,31.360203
62.8591358,60.50242
39.50729977,35.403904
121.7091176,120.30916
26.63899314,27.067486
122.4884225,118.88745
118.1993611,121.8474
132.4818449,121.129425
0.095242278,0.27444172
116.0563333,119.70526
131.9622778,133.62964
52.48449198,48.079727
98.47299383,91.33246
74.31463235,74.641205
106.24275,118.75059
7.766393162,6.70061
85.93237654,87.97844
38.3205615,44.148888
68.16625668,70.81427
137.3912778,139.24973
52.7136631,48.087254
29.14988558,29.412949
95.45691358,90.15895
26.6625,32.508835
23.95212868,30.84893
135.1053889,130.0186
49.82588235,47.4366
90.11259259,85.50484
115.0050278,105.20842
51.11274691,51.166164
38.64418764,37.216053
71.9070679,65.523384
34.79361765,33.951416
27.73404412,29.353798
28.17526471,28.550182
131.5650267,120.30899
17.90610556,17.139103
38.09929487,32.845387
49.91756684,47.487026
21.54075214,20.708729
46.34219251,45.13216
67.67410494,62.812057
40.5207754,49.78328
20.86356618,23.456577
37.19258581,40.696083
33.93627002,26.355255
57.4092284,60.229206
33.55668376,26.226742
125.2389037,120.91236
114.7870588,116.50265
31.85693364,29.486382
44.73786096,42.75117
93.12867284,93.668106
121.0529167,112.17143
82.22839506,84.50533
96.909,87.07542
122.4884225,119.9341
71.16305147,66.667885
