Strain,Pore Density,Acetone,Methanol,Ethanol,Compressive strength
3.4792375,20,1,0,0,13.33911213
3.502275,20,1,0,0,14.20223112
3.52531875,20,1,0,0,15.0261167
3.544,20,1,0,0,15.69307094
3.56330625,20,1,0,0,16.39926087
3.58074375,20,1,0,0,17.14468192
3.62744375,20,1,0,0,18.94938444
3.648,20,1,0,0,19.7340389
3.66668125,20,1,0,0,20.55792449
3.68785,20,1,0,0,21.4995103
3.710275,20,1,0,0,22.40186041
3.73081875,20,1,0,0,23.10805492
3.75261875,20,1,0,0,23.50036613
3.770675,20,1,0,0,24.28503432
3.791225,20,1,0,0,25.06967963
3.8086625,20,1,0,0,25.85434783
3.83045625,20,1,0,0,26.63899314
3.85474375,20,1,0,0,27.61981693
3.874675,20,1,0,0,28.36524027
3.89335625,20,1,0,0,28.75755149
3.91515,20,1,0,0,29.65990847
3.9388125,20,1,0,0,29.18910755
3.96496875,20,1,0,0,28.67908467
3.98676875,20,1,0,0,29.54221968
4.0023375,20,1,0,0,30.32686499
4.01790625,20,1,0,0,29.2283524
4.06149375,20,1,0,0,28.40446224
4.087025,20,1,0,0,29.73837529
4.1050875,20,1,0,0,30.64073227
4.12128125,20,1,0,0,31.38613272
4.14058125,20,1,0,0,30.91535469
4.1654875,20,1,0,0,32.17080092
4.19226875,20,1,0,0,33.6616476
4.21344375,20,1,0,0,34.40707094
4.23025625,20,1,0,0,35.19171625
4.24769375,20,1,0,0,34.17167048
4.26761875,20,1,0,0,21.57797483
4.29128125,20,1,0,0,23.38267735
4.31681875,20,1,0,0,24.912746
4.33363125,20,1,0,0,26.05050343
4.35355625,20,1,0,0,26.44283753
4.37473125,20,1,0,0,27.34517162
4.397775,20,1,0,0,29.03217391
4.41956875,20,1,0,0,30.36608696
4.43825,20,1,0,0,31.30768879
4.4762375,20,1,0,0,33.54393593
4.49554375,20,1,0,0,34.36782609
4.51920625,20,1,0,0,35.85867277
4.54349375,20,1,0,0,35.27018307
4.56466875,20,1,0,0,37.11411899
4.5858375,20,1,0,0,38.36956522
4.60451875,20,1,0,0,39.66423341
4.62694375,20,1,0,0,40.29196796
4.64998125,20,1,0,0,41.0373913
4.66741875,20,1,0,0,42.56745995
4.68735,20,1,0,0,43.62675057
4.706025,20,1,0,0,45.03910755
4.72595625,20,1,0,0,46.49073227
4.74961875,20,1,0,0,47.98157895
4.7726625,20,1,0,0,49.27624714
4.7932125,20,1,0,0,46.6476659
4.8143875,20,1,0,0,48.17773455
4.83618125,20,1,0,0,48.25620137
4.85735625,20,1,0,0,48.02080092
4.87915,20,1,0,0,49.74704805
4.914025,20,1,0,0,52.33640732
4.934575,20,1,0,0,53.19951945
4.955125,20,1,0,0,54.1410984
4.98128125,20,1,0,0,56.14196796
5.00369375,20,1,0,0,58.14283753
5.02175625,20,1,0,0,59.59443936
5.0416875,20,1,0,0,60.3398627
5.06285625,20,1,0,0,28.051373
5.08589375,20,1,0,0,30.64073227
5.10706875,20,1,0,0,32.56313501
5.1238875,20,1,0,0,34.05395881
5.14256875,20,1,0,0,35.66251716
5.16125,20,1,0,0,37.03565217
5.1842875,20,1,0,0,38.33032037
5.209825,20,1,0,0,40.64505721
5.2334875,20,1,0,0,42.72439359
5.25154375,20,1,0,0,44.37215103
5.27085,20,1,0,0,46.09839817
5.29265,20,1,0,0,47.90311213
5.31693125,20,1,0,0,47.35384439
5.35491875,20,1,0,0,50.25707094
5.37235625,20,1,0,0,50.76709382
5.39290625,20,1,0,0,52.29716247
5.41408125,20,1,0,0,54.37649886
5.4396125,20,1,0,0,56.92661327
5.464525,20,1,0,0,56.06350114
5.4807125,20,1,0,0,57.43663616
5.49815,20,1,0,0,59.28057208
5.52056875,20,1,0,0,61.35990847
5.5436125,20,1,0,0,62.73304348
5.566025,20,1,0,0,64.34160183
5.5847125,20,1,0,0,65.3616476
5.60339375,20,1,0,0,66.77402746
5.62145625,20,1,0,0,63.28231121
5.64449375,20,1,0,0,63.55693364
5.66878125,20,1,0,0,66.06782609
5.6880875,20,1,0,0,62.30148741
5.72669375,20,1,0,0,64.89084668
5.7491125,20,1,0,0,58.88826087
5.7765125,20,1,0,0,60.96759725
5.79830625,20,1,0,0,63.12537757
5.813875,20,1,0,0,64.69469108
5.8319375,20,1,0,0,59.12363844
5.85061875,20,1,0,0,49.5116476
5.87490625,20,1,0,0,50.45322654
5.89981875,20,1,0,0,49.31549199
5.91974375,20,1,0,0,51.00249428
5.93593125,20,1,0,0,51.59098398
5.9558625,20,1,0,0,45.62759725
5.979525,20,1,0,0,48.29542334
6.00256875,20,1,0,0,44.41139588
6.0243625,20,1,0,0,42.60668192
6.04304375,20,1,0,0,44.37215103
6.06235,20,1,0,0,46.0591762
6.0797875,20,1,0,0,47.62846682
6.1277375,20,1,0,0,40.21350114
6.1482875,20,1,0,0,39.78194508
6.1688375,20,1,0,0,41.07661327
6.1869,20,1,0,0,42.3320595
6.20869375,20,1,0,0,44.25446224
6.23298125,20,1,0,0,43.5090389
6.25353125,20,1,0,0,45.19604119
6.2728375,20,1,0,0,46.84382151
6.289025,20,1,0,0,48.37389016
6.3064625,20,1,0,0,48.92315789
6.33136875,20,1,0,0,49.00162471
6.3556625,20,1,0,0,39.74270023
6.372475,20,1,0,0,36.17254005
6.391775,20,1,0,0,38.13416476
6.41170625,20,1,0,0,40.13503432
6.43599375,20,1,0,0,42.64592677
6.46276875,20,1,0,0,44.80372998
6.48331875,20,1,0,0,45.58837529
6.50138125,20,1,0,0,46.84382151
6.51756875,20,1,0,0,48.5308238
6.56303125,20,1,0,0,50.88478261
6.58731875,20,1,0,0,51.94407323
6.605375,20,1,0,0,53.47414188
6.6234375,20,1,0,0,54.96498856
6.6439875,20,1,0,0,52.02254005
6.668275,20,1,0,0,52.10100686
6.6919375,20,1,0,0,50.41400458
6.71,20,1,0,0,52.5717849
6.729925,20,1,0,0,47.03997712
6.7473625,20,1,0,0,46.37302059
6.7679125,20,1,0,0,48.33466819
6.79344375,20,1,0,0,50.61016018
6.8152375,20,1,0,0,52.21869565
6.85509375,20,1,0,0,46.6476659
6.87564375,20,1,0,0,43.19519451
6.8974375,20,1,0,0,45.23528604
6.91736875,20,1,0,0,38.05569794
6.9373,20,1,0,0,34.01473684
6.957225,20,1,0,0,35.85867277
6.9746625,20,1,0,0,37.50645309
6.99645625,20,1,0,0,39.2719222
7.02074375,20,1,0,0,41.23354691
7.04440625,20,1,0,0,39.54654462
7.066825,20,1,0,0,41.74356979
7.08550625,20,1,0,0,42.44974828
7.10356875,20,1,0,0,43.11670481
7.12660625,20,1,0,0,45.27450801
7.14778125,20,1,0,0,47.15768879
7.16895625,20,1,0,0,44.76448513
7.1882625,20,1,0,0,46.29455378
7.225,20,1,0,0,47.15768879
7.2499125,20,1,0,0,41.0373913
7.273575,20,1,0,0,39.82116705
7.29474375,20,1,0,0,42.25359268
7.3153,20,1,0,0,42.99901602
7.33460625,20,1,0,0,44.52908467
7.355775,20,1,0,0,41.11585812
7.377575,20,1,0,0,37.19258581
7.39625,20,1,0,0,39.15421053
7.41555625,20,1,0,0,39.31114416
7.43299375,20,1,0,0,39.03652174
7.4566625,20,1,0,0,41.3512357
7.48094375,20,1,0,0,42.88132723
7.5046125,20,1,0,0,44.96064073
7.5245375,20,1,0,0,46.49073227
7.5426,20,1,0,0,47.9423341
7.58431875,20,1,0,0,51.59098398
7.60549375,20,1,0,0,50.76709382
7.624175,20,1,0,0,51.04171625
7.64348125,20,1,0,0,50.17860412
7.6621625,20,1,0,0,46.80459954
7.685825,20,1,0,0,48.02080092
7.7101125,20,1,0,0,44.21524027
7.73315625,20,1,0,0,43.94059497
7.7512125,20,1,0,0,46.09839817
7.769275,20,1,0,0,47.39308924
7.79169375,20,1,0,0,46.72613272
7.81598125,20,1,0,0,46.84382151
7.83653125,20,1,0,0,46.9615103
7.8545875,20,1,0,0,48.1384897
7.87265,20,1,0,0,42.09665904
7.914375,20,1,0,0,35.07400458
7.94239375,20,1,0,0,37.07487414
7.96294375,20,1,0,0,38.68343249
7.98038125,20,1,0,0,34.76016018
7.9990625,20,1,0,0,33.58318078
8.02210625,20,1,0,0,35.4271167
8.044525,20,1,0,0,29.03217391
8.06569375,20,1,0,0,19.26324485
8.085625,20,1,0,0,17.22314645
8.1024375,20,1,0,0,18.36089474
8.12174375,20,1,0,0,18.8316865
8.14540625,20,1,0,0,20.20483066
8.167825,20,1,0,0,21.34257895
8.18713125,20,1,0,0,21.30334554
8.2064375,20,1,0,0,20.87178719
8.22574375,20,1,0,0,22.55878947
8.251275,20,1,0,0,24.24578947
8.277425,20,1,0,0,25.97203661
8.2961125,20,1,0,0,26.32512586
8.3291125,20,1,0,0,28.28677346
8.3509125,20,1,0,0,29.14988558
8.37644375,20,1,0,0,30.48379863
8.40010625,20,1,0,0,31.62153318
8.4187875,20,1,0,0,32.83775744
8.43560625,20,1,0,0,33.93627002
8.456775,20,1,0,0,34.52475973
8.47919375,20,1,0,0,35.62327231
8.50410625,20,1,0,0,37.50645309
8.52403125,20,1,0,0,39.19345538
8.54458125,20,1,0,0,38.25185355
8.559525,20,1,0,0,38.36956522
8.6043625,20,1,0,0,41.82203661
8.62740625,20,1,0,0,38.91881007
8.64733125,20,1,0,0,39.97810069
8.6672625,20,1,0,0,41.23354691
8.6865625,20,1,0,0,42.99901602
8.70960625,20,1,0,0,41.74356979
8.73326875,20,1,0,0,34.32860412
8.7532,20,1,0,0,35.46633867
8.77188125,20,1,0,0,37.3102746
8.788075,20,1,0,0,29.38528604
8.808625,20,1,0,0,27.42363844
8.83478125,20,1,0,0,29.14988558
8.856575,20,1,0,0,30.28762014
8.87463125,20,1,0,0,31.18997712
8.89269375,20,1,0,0,32.48466819
